timestamp,device_id,fw_version,uptime_s,rssi,temp,hum,light_raw,light_lux_approx
2026-07-07 18:56:53,node-01,1.0.0,15,-49,31.2,74.2,33,8
2026-07-07 18:57:08,node-01,1.0.0,30,-52,31.2,74.3,33,8
2026-07-07 18:57:23,node-01,1.0.0,45,-52,31.3,74.3,82,20
2026-07-07 18:57:38,node-01,1.0.0,60,-54,31.3,74.2,68,16
2026-07-07 18:57:53,node-01,1.0.0,75,-58,31.3,74.2,78,19
2026-07-07 18:58:08,node-01,1.0.0,90,-50,31.3,74.3,213,52
2026-07-07 18:58:23,node-01,1.0.0,105,-50,31.2,74.3,270,65
2026-07-07 18:58:38,node-01,1.0.0,120,-52,31.3,74.2,70,17
2026-07-07 18:58:53,node-01,1.0.0,135,-44,31.3,74.2,72,17
2026-07-07 18:59:08,node-01,1.0.0,150,-52,31.3,74.3,75,18
2026-07-07 18:59:23,node-01,1.0.0,165,-49,31.3,74.3,78,19
2026-07-07 18:59:38,node-01,1.0.0,180,-50,31.2,74.3,69,16
2026-07-07 18:59:53,node-01,1.0.0,195,-48,31.2,74.5,83,20
2026-07-07 19:00:08,node-01,1.0.0,210,-52,31.2,74.5,81,19
2026-07-07 19:00:23,node-01,1.0.0,225,-49,31.3,74.4,78,19
2026-07-07 19:00:38,node-01,1.0.0,240,-54,31.2,74.5,71,17
2026-07-07 19:00:53,node-01,1.0.0,255,-48,31.2,74.5,12,2
2026-07-07 19:01:08,node-01,1.0.0,270,-51,31.2,74.6,16,3
2026-07-07 19:01:23,node-01,1.0.0,285,-49,31.2,74.5,66,16
2026-07-07 19:01:38,node-01,1.0.0,300,-51,31.2,74.5,37,9
2026-07-07 19:01:53,node-01,1.0.0,315,-59,31.2,74.4,14,3
2026-07-07 19:02:08,node-01,1.0.0,330,-49,31.2,74.5,32,7
2026-07-07 19:02:23,node-01,1.0.0,345,-54,31.2,74.5,10,2
2026-07-07 19:02:38,node-01,1.0.0,360,-49,31.2,74.4,3,0
2026-07-07 19:02:53,node-01,1.0.0,375,-48,31.3,74.5,2,0
2026-07-07 19:03:08,node-01,1.0.0,390,-45,31.3,74.5,12,2
2026-07-07 19:03:23,node-01,1.0.0,405,-66,31.3,74.6,76,18
2026-07-07 19:03:38,node-01,1.0.0,420,-46,31.4,74.4,79,19
2026-07-07 19:03:53,node-01,1.0.0,435,-46,31.4,74.4,77,18
2026-07-07 19:04:08,node-01,1.0.0,450,-47,31.4,74.4,7,1
2026-07-07 19:04:23,node-01,1.0.0,465,-41,31.4,74.3,8,1
2026-07-07 19:04:38,node-01,1.0.0,480,-42,31.4,74.4,3,0
2026-07-07 19:04:53,node-01,1.0.0,495,-49,31.4,74.3,22,5
